2024-01-07 00:01:35,0,502,0,0,0,20
2024-01-07 00:17:17,0,459,0,0,0,20
2024-01-07 00:19:17,0,501,0,0,0,20
2024-01-07 00:21:17,0,473,0,0,0,20
2024-01-07 00:23:17,0,472,0,0,0,20
2024-01-07 00:25:17,0,473,0,0,0,20
2024-01-07 00:27:17,0,474,0,0,0,20
2024-01-07 00:29:17,0,471,0,0,0,20
2024-01-07 00:31:17,0,411,0,0,0,20
2024-01-07 00:33:17,0,428,0,0,0,20
2024-01-07 00:35:16,0,460,0,0,0,20
2024-01-07 00:37:16,0,450,0,0,0,20
2024-01-07 00:39:16,0,434,0,0,0,20
2024-01-07 00:41:16,0,433,0,0,0,20
2024-01-07 00:43:17,0,410,0,0,0,20
2024-01-07 00:45:17,0,396,0,0,0,20
2024-01-07 00:47:17,0,433,0,0,0,20
2024-01-07 00:49:17,0,433,0,0,0,20
2024-01-07 00:51:17,0,424,0,0,0,20
2024-01-07 00:53:17,0,427,0,0,0,20
2024-01-07 00:55:16,0,427,0,0,0,20
2024-01-07 00:57:16,0,380,0,0,0,20
2024-01-07 00:59:16,0,368,0,0,0,20
2024-01-07 01:01:16,0,377,0,0,0,20
2024-01-07 01:03:16,0,375,0,0,0,20
2024-01-07 01:05:16,0,375,0,0,0,20
2024-01-07 01:07:16,0,368,0,0,0,20
2024-01-07 01:09:16,0,368,0,0,0,20
2024-01-07 01:11:16,0,370,0,0,0,20
2024-01-07 01:13:16,0,411,0,0,0,20
2024-01-07 01:15:17,0,423,0,0,0,20
2024-01-07 01:17:17,0,431,0,0,0,20
2024-01-07 01:19:17,0,427,0,0,0,20
2024-01-07 01:21:17,0,425,0,0,0,20
2024-01-07 01:23:16,0,424,0,0,0,20
2024-01-07 01:25:16,0,423,0,0,0,20
2024-01-07 01:27:16,0,422,0,0,0,20
2024-01-07 01:29:16,0,374,0,0,0,20
2024-01-07 01:31:16,0,373,0,0,0,20
2024-01-07 01:33:16,0,418,0,0,0,20
2024-01-07 01:35:16,0,397,0,0,0,20
2024-01-07 01:37:16,0,395,0,0,0,20
2024-01-07 01:39:16,0,395,0,0,0,20
2024-01-07 01:41:16,0,368,0,0,0,20
2024-01-07 01:43:16,0,367,0,0,0,20
2024-01-07 01:45:17,0,427,0,0,0,20
2024-01-07 01:47:17,0,414,0,0,0,20
2024-01-07 01:49:16,0,415,0,0,0,20
2024-01-07 01:51:16,0,416,0,0,0,20
2024-01-07 01:53:16,0,413,0,0,0,20
2024-01-07 01:55:16,0,368,0,0,0,20
2024-01-07 01:57:16,0,368,0,0,0,20
2024-01-07 01:59:16,0,365,0,0,0,20
2024-01-07 02:01:16,0,368,0,0,0,20
2024-01-07 02:03:16,0,372,0,0,0,20
